"","N","n2","v1","es1","es2","power","pnexch","pnexch_cutoff","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","n2mult_c"
"70",1000,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"71",200,0.1,NA,0.1,0.8,1,0.99998,NA,1,1,1,1,"n2 = 0.1*N"
"72",400,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"73",600,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"74",800,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"75",1000,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"76",200,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"77",400,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"78",600,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"79",800,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"80",1000,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"81",200,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"82",400,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"83",600,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"84",800,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"85",1000,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"86",200,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"87",400,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"88",600,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"89",800,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"90",1000,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
