"","N","n2","v1","es1","es2","power","pnexch","pnexch_power","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","var_c"
"91",200,0.5,1,1,4,1,1,1,1,1,1,1,"Var = 1"
"92",400,0.5,1,1,4,1,1,1,1,1,1,1,"Var = 1"
"93",600,0.5,1,1,4,1,1,1,1,1,1,1,"Var = 1"
"94",800,0.5,1,1,4,1,1,1,1,1,1,1,"Var = 1"
"95",1000,0.5,1,1,4,1,1,1,1,1,1,1,"Var = 1"
"96",200,0.5,10,1,4,1,0.99999,1,1,1,1,1,"Var = 10"
"97",400,0.5,10,1,4,1,1,1,1,1,1,1,"Var = 10"
"98",600,0.5,10,1,4,1,1,1,1,1,1,1,"Var = 10"
"99",800,0.5,10,1,4,1,1,1,1,1,1,1,"Var = 10"
"100",1000,0.5,10,1,4,1,1,1,1,1,1,1,"Var = 10"
"101",200,0.5,100,1,4,0.5538,0.94295,0.88653,1,0.9584,0.9545,0.7705,"Var = 100"
"102",400,0.5,100,1,4,0.8505,0.97398,0.96282,1,0.9809,0.9801,0.9158,"Var = 100"
"103",600,0.5,100,1,4,0.9557,0.98935,0.99077,1,0.9947,0.9941,0.9752,"Var = 100"
"104",800,0.5,100,1,4,0.9891,0.99601,0.99835,1,0.9984,0.9983,0.9926,"Var = 100"
"105",1000,0.5,100,1,4,0.9978,0.99859,0.99969,1,0.9996,0.9996,0.9985,"Var = 100"
"106",200,0.5,1,1,4.5,1,1,1,1,1,1,1,"Var = 1"
"107",400,0.5,1,1,4.5,1,1,1,1,1,1,1,"Var = 1"
"108",600,0.5,1,1,4.5,1,1,1,1,1,1,1,"Var = 1"
"109",800,0.5,1,1,4.5,1,1,1,1,1,1,1,"Var = 1"
"110",1000,0.5,1,1,4.5,1,1,1,1,1,1,1,"Var = 1"
"111",200,0.5,10,1,4.5,1,1,1,1,1,1,1,"Var = 10"
"112",400,0.5,10,1,4.5,1,1,1,1,1,1,1,"Var = 10"
"113",600,0.5,10,1,4.5,1,1,1,1,1,1,1,"Var = 10"
"114",800,0.5,10,1,4.5,1,1,1,1,1,1,1,"Var = 10"
"115",1000,0.5,10,1,4.5,1,1,1,1,1,1,1,"Var = 10"
"116",200,0.5,100,1,4.5,0.6928,0.96177,0.93015,1,0.9812,0.9789,0.8665,"Var = 100"
"117",400,0.5,100,1,4.5,0.9388,0.9884,0.98842,1,0.9946,0.9944,0.9723,"Var = 100"
"118",600,0.5,100,1,4.5,0.9899,0.9967,0.99862,1,0.9993,0.9991,0.9955,"Var = 100"
"119",800,0.5,100,1,4.5,0.9986,0.99917,0.99987,1,0.9999,0.9999,0.9993,"Var = 100"
"120",1000,0.5,100,1,4.5,0.9999,0.99979,0.99999,1,1,1,0.9999,"Var = 100"
"121",200,0.5,1,1,5,1,1,1,1,1,1,1,"Var = 1"
"122",400,0.5,1,1,5,1,1,1,1,1,1,1,"Var = 1"
"123",600,0.5,1,1,5,1,1,1,1,1,1,1,"Var = 1"
"124",800,0.5,1,1,5,1,1,1,1,1,1,1,"Var = 1"
"125",1000,0.5,1,1,5,1,1,1,1,1,1,1,"Var = 1"
"126",200,0.5,10,1,5,1,1,1,1,1,1,1,"Var = 10"
"127",400,0.5,10,1,5,1,1,1,1,1,1,1,"Var = 10"
"128",600,0.5,10,1,5,1,1,1,1,1,1,1,"Var = 10"
"129",800,0.5,10,1,5,1,1,1,1,1,1,1,"Var = 10"
"130",1000,0.5,10,1,5,1,1,1,1,1,1,1,"Var = 10"
"131",200,0.5,100,1,5,0.8007,0.97561,0.96126,1,0.9926,0.9917,0.9257,"Var = 100"
"132",400,0.5,100,1,5,0.9801,0.99542,0.99739,1,0.9987,0.9986,0.9912,"Var = 100"
"133",600,0.5,100,1,5,0.9984,0.99922,0.99986,1,1,1,0.9994,"Var = 100"
"134",800,0.5,100,1,5,1,0.99986,0.99999,1,1,1,1,"Var = 100"
"135",1000,0.5,100,1,5,1,0.99998,1,1,1,1,1,"Var = 100"
