"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power"
"130",1,"continuous",350,350,1,4,1,1,NA,NA,1,1,1
"131",1,"continuous",350,350,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"132",1,"continuous",350,350,1,4,10,10,NA,NA,0.9977,0.8139,0.9769
"133",1,"continuous",350,350,1,5,1,1,NA,NA,1,1,1
"134",1,"continuous",350,350,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"135",1,"continuous",350,350,1,5,10,10,NA,NA,1,0.9879,0.9994
"136",1,"continuous",400,400,1,1,1,1,NA,NA,0.0134,0.0025,0.0551
"137",1,"continuous",400,400,1,1,3.16227766016838,3.16227766016838,NA,NA,0.053,0.0025,0.0551
"138",1,"continuous",400,400,1,1,10,10,NA,NA,0.2153,0.0025,0.0551
"139",1,"continuous",400,400,1,2,1,1,NA,NA,1,1,1
"140",1,"continuous",400,400,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9943,0.9146,0.9944
"141",1,"continuous",400,400,1,2,10,10,NA,NA,0.5589,0.0524,0.294
"142",1,"continuous",400,400,1,3,1,1,NA,NA,1,1,1
"143",1,"continuous",400,400,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"144",1,"continuous",400,400,1,3,10,10,NA,NA,0.937,0.4011,0.8017
"145",1,"continuous",400,400,1,4,1,1,NA,NA,1,1,1
"146",1,"continuous",400,400,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"147",1,"continuous",400,400,1,4,10,10,NA,NA,0.9988,0.8722,0.9887
"148",1,"continuous",400,400,1,5,1,1,NA,NA,1,1,1
"149",1,"continuous",400,400,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"150",1,"continuous",400,400,1,5,10,10,NA,NA,1,0.9954,0.9999
"151",1,"continuous",450,450,1,1,1,1,NA,NA,0.0123,0.002,0.0526
"152",1,"continuous",450,450,1,1,3.16227766016838,3.16227766016838,NA,NA,0.046,0.002,0.0526
"153",1,"continuous",450,450,1,1,10,10,NA,NA,0.1938,0.002,0.0526
"154",1,"continuous",450,450,1,2,1,1,NA,NA,1,1,1
"155",1,"continuous",450,450,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9975,0.9467,0.9979
"156",1,"continuous",450,450,1,2,10,10,NA,NA,0.5788,0.058,0.3251
"157",1,"continuous",450,450,1,3,1,1,NA,NA,1,1,1
"158",1,"continuous",450,450,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"159",1,"continuous",450,450,1,3,10,10,NA,NA,0.9522,0.465,0.85
"160",1,"continuous",450,450,1,4,1,1,NA,NA,1,1,1
"161",1,"continuous",450,450,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"162",1,"continuous",450,450,1,4,10,10,NA,NA,0.9996,0.916,0.9954
"163",1,"continuous",450,450,1,5,1,1,NA,NA,1,1,1
"164",1,"continuous",450,450,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"165",1,"continuous",450,450,1,5,10,10,NA,NA,1,0.9986,1
"166",1,"continuous",500,500,1,1,1,1,NA,NA,0.0116,0.0019,0.051
"167",1,"continuous",500,500,1,1,3.16227766016838,3.16227766016838,NA,NA,0.0423,0.0019,0.051
"168",1,"continuous",500,500,1,1,10,10,NA,NA,0.1767,0.0019,0.051
"169",1,"continuous",500,500,1,2,1,1,NA,NA,1,1,1
"170",1,"continuous",500,500,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9984,0.9696,0.9988
"171",1,"continuous",500,500,1,2,10,10,NA,NA,0.5829,0.065,0.3515
"172",1,"continuous",500,500,1,3,1,1,NA,NA,1,1,1
"173",1,"continuous",500,500,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"174",1,"continuous",500,500,1,3,10,10,NA,NA,0.9635,0.5163,0.881
"175",1,"continuous",500,500,1,4,1,1,NA,NA,1,1,1
"176",1,"continuous",500,500,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1
"177",1,"continuous",500,500,1,4,10,10,NA,NA,0.9994,0.9471,0.9973
