"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"89",1,"continuous",200,200,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"90",1,"continuous",200,200,1,5,10,10,NA,NA,1,0.9865,0.9799,0.8,0.05
"91",1,"continuous",250,250,1,1,1,1,NA,NA,0.6449,0.0623,0.0489,0.8,0.05
"92",1,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0623,0.0489,0.8,0.05
"93",1,"continuous",250,250,1,1,10,10,NA,NA,1,0.0623,0.0489,0.8,0.05
"94",1,"continuous",250,250,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"95",1,"continuous",250,250,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9561,0.9444,0.8,0.05
"96",1,"continuous",250,250,1,2,10,10,NA,NA,1,0.2371,0.2021,0.8,0.05
"97",1,"continuous",250,250,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"98",1,"continuous",250,250,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"99",1,"continuous",250,250,1,3,10,10,NA,NA,1,0.6478,0.6052,0.8,0.05
"100",1,"continuous",250,250,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"101",1,"continuous",250,250,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"102",1,"continuous",250,250,1,4,10,10,NA,NA,1,0.9366,0.9193,0.8,0.05
"103",1,"continuous",250,250,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"104",1,"continuous",250,250,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"105",1,"continuous",250,250,1,5,10,10,NA,NA,1,0.9962,0.9946,0.8,0.05
"106",1,"continuous",300,300,1,1,1,1,NA,NA,0.5367,0.0574,0.0504,0.8,0.05
"107",1,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0574,0.0504,0.8,0.05
"108",1,"continuous",300,300,1,1,10,10,NA,NA,1,0.0574,0.0504,0.8,0.05
"109",1,"continuous",300,300,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"110",1,"continuous",300,300,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9743,0.9711,0.8,0.05
"111",1,"continuous",300,300,1,2,10,10,NA,NA,1,0.2534,0.2311,0.8,0.05
