"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"83",1,"binary",810,90,0.1,0.3,NA,NA,NA,NA,0.9993,0.9954,0.9961,0.8,0.05
"84",1,"binary",810,90,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"85",1,"binary",810,90,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"86",1,"binary",900,100,0.1,0.1,NA,NA,NA,NA,0.1227,0.0435,0.052,0.8,0.05
"87",1,"binary",900,100,0.1,0.2,NA,NA,NA,NA,0.9019,0.7593,0.7808,0.8,0.05
"88",1,"binary",900,100,0.1,0.3,NA,NA,NA,NA,0.9997,0.9978,0.9983,0.8,0.05
"89",1,"binary",900,100,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"90",1,"binary",900,100,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"91",1,"continuous",150,50,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.1146,0.0468,0.8,0.05
"92",1,"continuous",150,50,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.6326,0.4811,0.8,0.05
"93",1,"continuous",150,50,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9896,0.9724,0.8,0.05
"94",1,"continuous",150,50,1,4,3.16227766016838,3.16227766016838,NA,NA,1,0.9999,0.9999,0.8,0.05
"95",1,"continuous",150,50,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"96",1,"continuous",180,20,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.1118,0.0497,0.8,0.05
"97",1,"continuous",180,20,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.4093,0.2658,0.8,0.05
"98",1,"continuous",180,20,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.8671,0.7602,0.8,0.05
"99",1,"continuous",180,20,1,4,3.16227766016838,3.16227766016838,NA,NA,1,0.9941,0.98,0.8,0.05
"100",1,"continuous",180,20,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,0.9996,0.8,0.05
"101",1,"continuous",225,75,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0863,0.0477,0.8,0.05
"102",1,"continuous",225,75,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.7457,0.6534,0.8,0.05
"103",1,"continuous",225,75,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9989,0.9968,0.8,0.05
"104",1,"continuous",225,75,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"105",1,"continuous",225,75,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"106",1,"continuous",270,30,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0901,0.0485,0.8,0.05
"107",1,"continuous",270,30,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.4705,0.3742,0.8,0.05
"108",1,"continuous",270,30,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9443,0.906,0.8,0.05
"109",1,"continuous",270,30,1,4,3.16227766016838,3.16227766016838,NA,NA,1,0.9998,0.9995,0.8,0.05
"110",1,"continuous",270,30,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"111",1,"continuous",300,100,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0704,0.0492,0.8,0.05
"112",1,"continuous",300,100,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.8325,0.789,0.8,0.05
"113",1,"continuous",300,100,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9999,0.9999,0.8,0.05
"114",1,"continuous",300,100,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"115",1,"continuous",300,100,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"116",1,"continuous",360,40,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0717,0.0491,0.8,0.05
"117",1,"continuous",360,40,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.5478,0.4825,0.8,0.05
"118",1,"continuous",360,40,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9786,0.9666,0.8,0.05
